Year,Statistic,Name(s),Team(s),#,Date of Birth
1947,Complete Games,Hal Newhouser,Detroit,24,05-20-1921  (Taurus)
1947,ERA,Joe Haynes,Chicago,2.42,09-21-1917  (Virgo)
1947,Games,Ed Klieman,Cleveland,58,03-21-1918  (Aries)
1947,Saves,Ed Klieman,Cleveland,17,03-21-1918  (Aries)
1947,Shutouts,Bob Feller,Cleveland,5,11-03-1918  (Scorpio)
1947,Strikeouts,Bob Feller,Cleveland,196,11-03-1918  (Scorpio)
1947,Winning Percentage,Allie Reynolds,New York,.704,02-10-1917  (Aquarius)
1947,Wins,Bob Feller,Cleveland,20,11-03-1918  (Scorpio)
1948,Complete Games,Bob Lemon,Cleveland,20,09-22-1920  (Virgo)
1948,ERA,Gene Bearden,Cleveland,2.43,09-05-1920  (Virgo)
1948,Games,Joe Page,New York,55,10-28-1917  (Scorpio)
1948,Saves,Russ Christopher,Cleveland,17,09-12-1917  (Virgo)
1948,Shutouts,Bob Lemon,Cleveland,10,09-22-1920  (Virgo)
1948,Strikeouts,Bob Feller,Cleveland,164,11-03-1918  (Scorpio)
1948,Winning Percentage,Jack Kramer,Boston,.783,01-05-1918  (Capricorn)
1948,Wins,Hal Newhouser,Detroit,21,05-20-1921  (Taurus)
1949,Complete Games,Mel Parnell,Boston,27,06-13-1922  (Gemini)
1949,ERA,Mike Garcia,Cleveland,2.36,11-17-1923  (Scorpio)
1949,Games,Joe Page,New York,60,10-28-1917  (Scorpio)
1949,Saves,Joe Page,New York,27,10-28-1917  (Scorpio)
1949,Shutouts,Ellis Kinder,Boston,6,07-26-1914  (Leo)
1949,Strikeouts,Virgil Trucks,Detroit,153,04-26-1917  (Taurus)
1949,Winning Percentage,Ellis Kinder,Boston,.793,07-26-1914  (Leo)
1949,Wins,Mel Parnell,Boston,25,06-13-1922  (Gemini)
1950,Complete Games,Ned Garver,St. Louis,22,12-25-1925  (Capricorn)
1950,Complete Games,Bob Lemon,Cleveland,22,09-22-1920  (Virgo)
1950,ERA,Early Wynn,Cleveland,3.20,01-06-1920  (Capricorn)
1950,Games,Mickey Harris,Washington,53,01-30-1917  (Aquarius)
1950,Saves,Mickey Harris,Washington,15,01-30-1917  (Aquarius)
1950,Shutouts,Art Houtteman,Detroit,4,08-07-1927  (Leo)
1950,Strikeouts,Bob Lemon,Cleveland,170,09-22-1920  (Virgo)
1950,Winning Percentage,Vic Raschi,New York,.724,03-28-1919  (Aries)
1950,Wins,Bob Lemon,Cleveland,23,09-22-1920  (Virgo)
1951,Complete Games,Ned Garver,St. Louis,24,12-25-1925  (Capricorn)
1951,ERA,Saul Rogovin,Detroit,2.78,10-10-1923  (Libra)
1951,Games,Ellis Kinder,Boston,63,07-26-1914  (Leo)
1951,Saves,Ellis Kinder,Boston,14,07-26-1914  (Leo)
1951,Shutouts,Allie Reynolds,New York,7,02-10-1917  (Aquarius)
1951,Strikeouts,Vic Raschi,New York,164,03-28-1919  (Aries)
1951,Winning Percentage,Bob Feller,Cleveland,.733,11-03-1918  (Scorpio)
1951,Wins,Bob Feller,Cleveland,22,11-03-1918  (Scorpio)
1952,Complete Games,Bob Lemon,Cleveland,28,09-22-1920  (Virgo)
1952,ERA,Allie Reynolds,New York,2.06,02-10-1917  (Aquarius)
1952,Games,Bill Kennedy,Chicago,47,03-14-1921  (Pisces)
1952,Saves,Harry Dorish,Chicago,11,07-13-1921  (Cancer)
1952,Shutouts,Mike Garcia,Cleveland,6,11-17-1923  (Scorpio)
1952,Strikeouts,Allie Reynolds,New York,160,02-10-1917  (Aquarius)
1952,Winning Percentage,Bobby Shantz,Philadelphia,.774,09-26-1925  (Libra)
1952,Wins,Bobby Shantz,Philadelphia,24,09-26-1925  (Libra)
1953,Complete Games,Bob Porterfield,Washington,24,08-10-1923  (Leo)
1953,ERA,Ed Lopat,New York,2.42,06-21-1918  (Gemini)
1953,Games,Ellis Kinder,Boston,69,07-26-1914  (Leo)
1953,Saves,Ellis Kinder,Boston,27,07-26-1914  (Leo)
1953,Shutouts,Bob Porterfield,Washington,9,08-10-1923  (Leo)
1953,Strikeouts,Billy Pierce,New York,186,04-02-1927  (Aries)
1953,Winning Percentage,Ed Lopat,New York,.800,06-21-1918  (Gemini)
1953,Wins,Bob Porterfield,Washington,22,08-10-1923  (Leo)
1954,Complete Games,Bob Lemon,Cleveland,21,09-22-1920  (Virgo)
1954,ERA,Mike Garcia,Cleveland,2.64,11-17-1923  (Scorpio)
1954,Games,Sonny Dixon,Washington,54,11-05-1924  (Scorpio)
1954,Saves,Johnny Sain,New York,22,09-25-1917  (Libra)
1954,Shutouts,Mike Garcia,Cleveland,5,11-17-1923  (Scorpio)
1954,Strikeouts,Bob Turley,Baltimore,185,09-19-1930  (Virgo)
1954,Winning Percentage,Sandy Consuegra,Chicago,.842,09-03-1920  (Virgo)
1954,Wins,Bob Lemon,Cleveland,23,09-22-1920  (Virgo)
1955,Complete Games,Whitey Ford,New York,18,10-21-1928  (Libra)
1955,ERA,Billy Pierce,Chicago,1.97,04-02-1927  (Aries)
1955,Games,Ray Narleski,Cleveland,60,11-25-1928  (Sagittarius)
1955,Saves,Ray Narleski,Cleveland,19,11-25-1928  (Sagittarius)
1955,Shutouts,Billy Hoeft,Detroit,7,05-17-1932  (Taurus)
1955,Strikeouts,Herb Score,Cleveland,245,06-07-1933  (Gemini)
1955,Winning Percentage,Tommy Byrne,New York,.762,12-31-1919  (Capricorn)
1955,Wins,Whitey Ford,New York,18,10-21-1928  (Libra)
1956,Complete Games,Bob Lemon,Cleveland,21,09-22-1920  (Virgo)
1956,ERA,Whitey Ford,New York,2.47,10-21-1928  (Libra)
1956,Games,George Zuverink,Baltimore,62,08-20-1924  (Leo)
1956,Saves,George Zuverink,Baltimore,16,08-20-1924  (Leo)
1956,Shutouts,Herb Score,Cleveland,5,06-07-1933  (Gemini)
1956,Strikeouts,Herb Score,Cleveland,263,06-07-1933  (Gemini)
1956,Winning Percentage,Whitey Ford,New York,.760,10-21-1928  (Libra)
1956,Wins,Frank Lary,Detroit,21,04-10-1930  (Aries)
1957,Complete Games,Dick Donovan,Chicago,16,12-07-1927  (Sagittarius)
1957,ERA,Bobby Shantz,New York,2.45,09-26-1925  (Libra)
1957,Games,George Zuverink,Baltimore,56,08-20-1924  (Leo)
1957,Saves,Bob Grim,New York,19,03-08-1930  (Pisces)
1957,Shutouts,Jim Wilson,Chicago,5,02-20-1922  (Pisces)
1957,Strikeouts,Early Wynn,Cleveland,184,01-06-1920  (Capricorn)
1957,Winning Percentage,Dick Donovan,Chicago,.727,12-07-1927  (Sagittarius)
1957,Wins,Jim Bunning,Detroit,20,10-23-1931  (Libra)
1958,Complete Games,Frank Lary,Detroit,19,04-10-1930  (Aries)
1958,ERA,Whitey Ford,New York,2.01,10-21-1928  (Libra)
1958,Games,Tex Clevenger,Washington,55,07-09-1932  (Cancer)
1958,Saves,Ryne Duren,New York,20,02-22-1929  (Pisces)
1958,Shutouts,Whitey Ford,New York,7,10-21-1928  (Libra)
1958,Strikeouts,Early Wynn,Chicago,179,01-06-1920  (Capricorn)
1958,Winning Percentage,Bob Turley,New York,.750,09-19-1930  (Virgo)
1958,Wins,Bob Turley,New York,21,09-19-1930  (Virgo)
1959,Complete Games,Camilo Pascual,Washington,17,01-20-1934  (Capricorn)
1959,ERA,Hoyt Wilhelm,Baltimore,2.19,07-26-1923  (Leo)
1959,Games,Gerry Staley,Chicago,67,08-21-1920  (Leo)
1959,Saves,Turk Lown,Chicago,15,05-30-1924  (Gemini)
1959,Shutouts,Camilo Pascual,Washington,6,01-20-1934  (Capricorn)
1959,Strikeouts,Jim Bunning,Detroit,201,10-23-1931  (Libra)
1959,Winning Percentage,Bob Shaw,Chicago,.750,06-29-1933  (Cancer)
1959,Wins,Early Wynn,Chicago,22,01-06-1920  (Capricorn)
1960,Complete Games,Frank Lary,Detroit,15,04-10-1930  (Aries)
1960,ERA,Frank Baumann,Chicago,2.67,07-01-1933  (Cancer)
1960,Games,Mike Fornieles,Boston,70,01-18-1932  (Capricorn)
1960,Saves,Johnny Klippstein,Cleveland,14,10-17-1927  (Libra)
1960,Shutouts,Whitey Ford,New York,4,10-21-1928  (Libra)
1960,Strikeouts,Jim Bunning,Detroit,201,10-23-1931  (Libra)
1960,Winning Percentage,Jim Perry,Cleveland,.643,10-30-1935  (Scorpio)
1960,Wins,Chuck Estrada,Baltimore,18,02-15-1938  (Aquarius)
1961,Complete Games,Frank Lary,Detroit,22,04-10-1930  (Aries)
1961,ERA,Dick Donovan,Washington,2.40,12-07-1927  (Sagittarius)
1961,Games,Luis Arroyo,New York,65,02-18-1927  (Aquarius)
1961,Saves,Luis Arroyo,New York,29,02-18-1927  (Aquarius)
1961,Shutouts,Steve Barber,Baltimore,8,02-22-1938  (Pisces)
1961,Strikeouts,Camilo Pascual,Minnesota,221,01-20-1934  (Capricorn)
1961,Winning Percentage,Whitey Ford,New York,.862,10-21-1928  (Libra)
1961,Wins,Whitey Ford,New York,25,10-21-1928  (Libra)
1962,Complete Games,Camilo Pascual,Minnesota,18,01-20-1934  (Capricorn)
1962,ERA,Hank Aguirre,Detroit,2.21,01-31-1931  (Aquarius)
1962,Games,Dick Radatz,Boston,62,04-02-1937  (Aries)
1962,Saves,Dick Radatz,Boston,24,04-02-1937  (Aries)
1962,Shutouts,Dick Donovan,Cleveland,5,12-07-1927  (Sagittarius)
1962,Strikeouts,Camilo Pascual,Minnesota,206,01-20-1934  (Capricorn)
1962,Winning Percentage,Ray Herbert,Chicago,.690,12-15-1929  (Sagittarius)
1962,Wins,Ralph Terry,New York,23,01-09-1936  (Capricorn)
1963,Complete Games,Camilo Pascual,Minnesota,18,01-20-1934  (Capricorn)
1963,ERA,Gary Peters,Chicago,2.33,04-21-1937  (Taurus)
1963,Games,Stu Miller,Baltimore,71,12-26-1927  (Capricorn)
1963,Saves,Stu Miller,Baltimore,27,12-26-1927  (Capricorn)
1963,Shutouts,Ray Herbert,Chicago,7,12-15-1929  (Sagittarius)
1963,Strikeouts,Camilo Pascual,Minnesota,202,01-20-1934  (Capricorn)
1963,Winning Percentage,Whitey Ford,New York,.774,10-21-1928  (Libra)
1963,Wins,Whitey Ford,New York,24,10-21-1928  (Libra)
1964,Complete Games,Dean Chance,Los Angeles,19,06-01-1941  (Gemini)
1964,ERA,Dean Chance,Los Angeles,1.65,06-01-1941  (Gemini)
1964,Games,John Wyatt,Kansas City,81,04-19-1935  (Aries)
1964,Saves,Dick Radatz,Boston,29,04-02-1937  (Aries)
1964,Shutouts,Dean Chance,Los Angeles,11,06-01-1941  (Gemini)
1964,Strikeouts,Al Downing,New York,217,06-28-1941  (Cancer)
1964,Winning Percentage,Wally Bunker,Baltimore,.792,01-25-1945  (Aquarius)
1964,Wins,Dean Chance,Los Angeles,20,06-01-1941  (Gemini)
1965,Complete Games,Mel Stottlemyre,New York,18,11-13-1941  (Scorpio)
1965,ERA,Sam McDowell,Cleveland,2.18,09-21-1942  (Virgo)
1965,Games,Eddie Fisher,Chicago,82,07-16-1936  (Cancer)
1965,Saves,Ron Kline,Washington,29,03-09-1932  (Pisces)
1965,Shutouts,Mudcat Grant,Minnesota,6,08-13-1935  (Leo)
1965,Strikeouts,Sam McDowell,Cleveland,325,09-21-1942  (Virgo)
1965,Winning Percentage,Mudcat Grant,Minnesota,.750,08-13-1935  (Leo)
1965,Wins,Mudcat Grant,Minnesota,21,08-13-1935  (Leo)
1966,Complete Games,Jim Kaat,Minnesota,19,11-07-1938  (Scorpio)
1966,ERA,Gary Peters,Chicago,1.98,04-21-1937  (Taurus)
1966,Games,Eddie Fisher,Baltimore,67,07-16-1936  (Cancer)
1966,Saves,Jack Aker,Kansas City,32,07-13-1940  (Cancer)
1966,Shutouts,Tommy John,Chicago,5,05-22-1943  (Gemini)
1966,Strikeouts,Sam McDowell,Cleveland,225,09-21-1942  (Virgo)
1966,Winning Percentage,Sonny Siebert,Cleveland,.667,01-14-1937  (Capricorn)
1966,Wins,Jim Kaat,Minnesota,25,11-07-1938  (Scorpio)
1967,Complete Games,Dean Chance,Minnesota,18,06-01-1941  (Gemini)
1967,ERA,Joe Horlen,Chicago,2.06,08-14-1937  (Leo)
1967,Games,Bob Locker,Chicago,77,03-15-1938  (Pisces)
1967,Saves,Minnie Rojas,California,27,11-26-1933  (Sagittarius)
1967,Shutouts,Steve Hargan,Cleveland,6,09-08-1942  (Virgo)
1967,Strikeouts,Jim Lonborg,Boston,246,04-16-1942  (Aries)
1967,Winning Percentage,Joe Horlen,Chicago,.731,08-14-1937  (Leo)
1967,Wins,Jim Lonborg,Boston,22,04-16-1942  (Aries)
1968,Complete Games,Denny McLain,Detroit,28,03-29-1944  (Aries)
1968,ERA,Luis Tiant,Cleveland,1.60,11-23-1940  (Sagittarius)
1968,Games,Wilbur Wood,Chicago,88,10-22-1941  (Libra)
1968,Saves,Al Worthington,Minnesota,18,02-05-1929  (Aquarius)
1968,Shutouts,Luis Tiant,Cleveland,9,11-23-1940  (Sagittarius)
1968,Strikeouts,Sam McDowell,Cleveland,283,09-21-1942  (Virgo)
1968,Winning Percentage,Denny McLain,Detroit,.838,03-29-1944  (Aries)
1968,Wins,Denny McLain,Detroit,31,03-29-1944  (Aries)
1969,Complete Games,Mel Stottlemyre,New York,24,11-13-1941  (Scorpio)
1969,ERA,Dick Bosman,Washington,2.19,02-17-1944  (Aquarius)
1969,Games,Wilbur Wood,Chicago,76,10-22-1941  (Libra)
1969,Saves,Ron Perranoski,Minnesota,31,04-01-1936  (Aries)
1969,Shutouts,Denny McLain,Detroit,9,03-29-1944  (Aries)
1969,Strikeouts,Sam McDowell,Cleveland,279,09-21-1942  (Virgo)
1969,Winning Percentage,Jim Palmer,Baltimore,.800,10-15-1945  (Libra)
1969,Wins,Denny McLain,Detroit,24,03-29-1944  (Aries)
1970,Complete Games,Mike Cuellar,Baltimore,21,05-08-1937  (Taurus)
1970,ERA,Diego Segui,Oakland,2.56,08-17-1937  (Leo)
1970,Games,Wilbur Wood,Chicago,77,10-22-1941  (Libra)
1970,Saves,Ron Perranoski,Minnesota,34,04-01-1936  (Aries)
1970,Shutouts,Chuck Dobson,Oakland,5,01-10-1944  (Capricorn)
1970,Strikeouts,Sam McDowell,Cleveland,304,09-21-1942  (Virgo)
1970,Winning Percentage,Mike Cuellar,Baltimore,.750,05-08-1937  (Taurus)
1970,Wins,Mike Cuellar,Baltimore,24,05-08-1937  (Taurus)
1971,Complete Games,Mickey Lolich,Detroit,29,09-12-1940  (Virgo)
1971,ERA,Vida Blue,Oakland,1.82,07-28-1949  (Leo)
1971,Games,Ken Sanders,Milwaukee,83,07-08-1941  (Cancer)
1971,Saves,Ken Sanders,Milwaukee,31,07-08-1941  (Cancer)
1971,Shutouts,Vida Blue,Oakland,8,07-28-1949  (Leo)
1971,Strikeouts,Mickey Lolich,Detroit,308,09-12-1940  (Virgo)
1971,Winning Percentage,Dave McNally,Baltimore,.808,10-31-1942  (Scorpio)
1971,Wins,Mickey Lolich,Detroit,25,09-12-1940  (Virgo)
1972,Complete Games,Gaylord Perry,Cleveland,29,09-15-1938  (Virgo)
1972,ERA,Luis Tiant,Boston,1.91,11-23-1940  (Sagittarius)
1972,Games,Paul Lindblad,Texas,66,08-09-1941  (Leo)
1972,Saves,Sparky Lyle,New York,35,07-22-1944  (Cancer)
1972,Shutouts,Nolan Ryan,California,9,01-31-1947  (Aquarius)
1972,Strikeouts,Nolan Ryan,California,329,01-31-1947  (Aquarius)
1972,Winning Percentage,Catfish Hunter,Oakland,.750,04-08-1946  (Aries)
1972,Wins,Gaylord Perry,Cleveland,24,09-15-1938  (Virgo)
1973,Complete Games,Gaylord Perry,Cleveland,29,09-15-1938  (Virgo)
1973,ERA,Jim Palmer,Baltimore,2.40,10-15-1945  (Libra)
1973,Games,John Hiller,Detroit,65,04-08-1943  (Aries)
1973,Saves,John Hiller,Detroit,38,04-08-1943  (Aries)
1973,Shutouts,Bert Blyleven,Minnesota,9,04-06-1951  (Aries)
1973,Strikeouts,Nolan Ryan,California,383,01-31-1947  (Aquarius)
1973,Winning Percentage,Catfish Hunter,Oakland,.808,04-08-1946  (Aries)
1973,Wins,Wilbur Wood,Chicago,24,10-22-1941  (Libra)
1974,Complete Games,Fergie Jenkins,Texas,29,12-13-1942  (Sagittarius)
1974,ERA,Catfish Hunter,Oakland,2.49,04-08-1946  (Aries)
1974,Games,Rollie Fingers,Oakland,76,08-25-1946  (Virgo)
1974,Saves,Terry Forster,Chicago,24,01-14-1952  (Capricorn)
1974,Shutouts,Luis Tiant,Boston,7,11-23-1940  (Sagittarius)
1974,Strikeouts,Nolan Ryan,California,367,01-31-1947  (Aquarius)
1974,Winning Percentage,Mike Cuellar,Baltimore,.688,05-08-1937  (Taurus)
1974,Wins,Catfish Hunter,Oakland,25,04-08-1946  (Aries)
1975,Complete Games,Catfish Hunter,New York,30,04-08-1946  (Aries)
1975,ERA,Jim Palmer,Baltimore,2.09,10-15-1945  (Libra)
1975,Games,Rollie Fingers,Oakland,75,08-25-1946  (Virgo)
1975,Saves,Rich Gossage,Chicago,26,07-05-1951  (Cancer)
1975,Shutouts,Jim Palmer,Baltimore,10,10-15-1945  (Libra)
1975,Strikeouts,Frank Tanana,California,269,07-03-1953  (Cancer)
1975,Winning Percentage,Mike Torrez,Baltimore,.690,08-28-1946  (Virgo)
1975,Wins,Catfish Hunter,New York,23,04-08-1946  (Aries)
1976,Complete Games,Mark Fidrych,Detroit,24,08-14-1954  (Leo)
1976,ERA,Mark Fidrych,Detroit,2.34,08-14-1954  (Leo)
1976,Games,Bill Campbell,Minnesota,78,08-09-1948  (Leo)
1976,Saves,Sparky Lyle,New York,23,07-22-1944  (Cancer)
1976,Shutouts,Nolan Ryan,California,7,01-31-1947  (Aquarius)
1976,Strikeouts,Nolan Ryan,California,327,01-31-1947  (Aquarius)
1976,Winning Percentage,Bill Campbell,Minnesota,.773,08-09-1948  (Leo)
1976,Wins,Jim Palmer,Baltimore,22,10-15-1945  (Libra)
1977,Complete Games,Jim Palmer,Baltimore,22,10-15-1945  (Libra)
1977,ERA,Frank Tanana,California,2.54,07-03-1953  (Cancer)
1977,Games,Sparky Lyle,New York,72,07-22-1944  (Cancer)
1977,Saves,Bill Campbell,Boston,31,08-09-1948  (Leo)
1977,Shutouts,Frank Tanana,California,7,07-03-1953  (Cancer)
1977,Strikeouts,Nolan Ryan,California,341,01-31-1947  (Aquarius)
1977,Winning Percentage,Paul Splittorff,Kansas City,.727,10-08-1946  (Libra)
1977,Wins,Dave Goltz,Minnesota,20,06-23-1949  (Cancer)
1978,Complete Games,Mike Caldwell,Milwaukee,23,01-22-1949  (Aquarius)
1978,ERA,Ron Guidry,New York,1.74,08-28-1950  (Virgo)
1978,Games,Bob Lacey,Oakland,74,08-25-1953  (Virgo)
1978,Saves,Rich Gossage,New York,27,07-05-1951  (Cancer)
1978,Shutouts,Ron Guidry,New York,9,08-28-1950  (Virgo)
1978,Strikeouts,Nolan Ryan,California,260,01-31-1947  (Aquarius)
1978,Winning Percentage,Ron Guidry,New York,.893,08-28-1950  (Virgo)
1978,Wins,Ron Guidry,New York,25,08-28-1950  (Virgo)
1980,Complete Games,Rick Langford,Oakland,28,03-20-1952  (Pisces)
1980,ERA,Rudy May,New York,2.46,07-18-1944  (Cancer)
1980,Games,Dan Quisenberry,Kansas City,75,02-07-1953  (Aquarius)
1980,Saves,Rich Gossage,New York,33,07-05-1951  (Cancer)
1980,Shutouts,Tommy John,New York,6,05-22-1943  (Gemini)
1980,Strikeouts,Len Barker,Cleveland,187,07-07-1955  (Cancer)
1980,Winning Percentage,Steve Stone,Baltimore,.781,07-14-1947  (Cancer)
1980,Wins,Steve Stone,Baltimore,25,07-14-1947  (Cancer)
1981,Complete Games,Rick Langford,Oakland,18,03-20-1952  (Pisces)
1981,ERA,Steve McCatty,Oakland,2.33,03-20-1954  (Pisces)
1981,Games,Doug Corbett,Minnesota,54,11-04-1952  (Scorpio)
1981,Saves,Rollie Fingers,Milwaukee,28,08-25-1946  (Virgo)
1981,Shutouts,Richard Dotson,Chicago,4,01-10-1959  (Capricorn)
1981,Strikeouts,Len Barker,Cleveland,127,07-07-1955  (Cancer)
1981,Winning Percentage,Pete Vuckovich,Milwaukee,.778,10-27-1952  (Scorpio)
1981,Wins,Dennis Martinez,Baltimore,14,05-14-1954  (Taurus)
1982,Complete Games,Dave Stieb,Toronto,19,07-22-1957  (Cancer)
1982,ERA,Rick Sutcliffe,Cleveland,2.96,06-21-1956  (Gemini)
1982,Games,Ed Vande Berg,Seattle,78,10-26-1958  (Scorpio)
1982,Saves,Dan Quisenberry,Kansas City,35,02-07-1953  (Aquarius)
1982,Shutouts,Dave Stieb,Toronto,5,07-22-1957  (Cancer)
1982,Strikeouts,Floyd Bannister,Seattle,209,06-10-1955  (Gemini)
1982,Winning Percentage,Pete Vuckovich,Milwaukee,.750,10-27-1952  (Scorpio)
1982,Wins,La Marr Hoyt,Chicago,19,01-01-1955  (Capricorn)
1983,Complete Games,Ron Guidry,New York,21,08-28-1950  (Virgo)
1983,ERA,Rick Honeycutt,Texas,2.42,06-29-1954  (Cancer)
1983,Games,Dan Quisenberry,Kansas City,69,02-07-1953  (Aquarius)
1983,Saves,Dan Quisenberry,Kansas City,45,02-07-1953  (Aquarius)
1983,Shutouts,Mike Boddicker,Baltimore,5,08-23-1957  (Virgo)
1983,Strikeouts,Jack Morris,Detroit,232,05-16-1955  (Taurus)
1983,Winning Percentage,Richard Dotson,Chicago,.759,01-10-1959  (Capricorn)
1983,Wins,La Marr Hoyt,Chicago,24,01-01-1955  (Capricorn)
1984,Complete Games,Charlie Hough,Texas,17,01-05-1948  (Capricorn)
1984,ERA,Mike Boddicker,Baltimore,2.79,08-23-1957  (Virgo)
1984,Games,Willie Hernandez,Detroit,80,11-14-1954  (Scorpio)
1984,Saves,Dan Quisenberry,Kansas City,44,02-07-1953  (Aquarius)
1984,Shutouts,Bob Ojeda,Boston,5,12-17-1957  (Sagittarius)
1984,Strikeouts,Mark Langston,Seattle,204,08-20-1960  (Leo)
1984,Winning Percentage,Doyle Alexander,Toronto,.739,09-04-1950  (Virgo)
1984,Wins,Mike Boddicker,Baltimore,20,08-23-1957  (Virgo)
1985,Complete Games,Bert Blyleven,Cleveland,24,04-06-1951  (Aries)
1985,ERA,Dave Stieb,Toronto,2.48,07-22-1957  (Cancer)
1985,Games,Dan Quisenberry,Kansas City,84,02-07-1953  (Aquarius)
1985,Saves,Dan Quisenberry,Kansas City,37,02-07-1953  (Aquarius)
1985,Shutouts,Bert Blyleven,Cleveland,5,04-06-1951  (Aries)
1985,Strikeouts,Bert Blyleven,Cleveland,206,04-06-1951  (Aries)
1985,Winning Percentage,Ron Guidry,New York,.786,08-28-1950  (Virgo)
1985,Wins,Ron Guidry,New York,22,08-28-1950  (Virgo)
1986,Complete Games,Tom Candiotti,Cleveland,17,08-31-1956  (Virgo)
1986,ERA,Roger Clemens,Boston,2.48,08-04-1962  (Leo)
1986,Games,Mitch Williams,Texas,80,11-17-1964  (Scorpio)
1986,Saves,Dave Righetti,New York,46,11-28-1958  (Sagittarius)
1986,Shutouts,Jack Morris,Detroit,6,05-16-1955  (Taurus)
1986,Strikeouts,Mark Langston,Seattle,245,08-20-1960  (Leo)
1986,Winning Percentage,Roger Clemens,Boston,.857,08-04-1962  (Leo)
1986,Wins,Roger Clemens,Boston,24,08-04-1962  (Leo)
1987,Complete Games,Roger Clemens,Boston,18,08-04-1962  (Leo)
1987,ERA,Jimmy Key,Toronto,2.76,04-22-1961  (Taurus)
1987,Games,Mark Eichhorn,Toronto,89,11-21-1960  (Scorpio)
1987,Saves,Tom Henke,Toronto,34,12-21-1957  (Sagittarius)
1987,Shutouts,Roger Clemens,Boston,7,08-04-1962  (Leo)
1987,Strikeouts,Mark Langston,Seattle,262,08-20-1960  (Leo)
1987,Winning Percentage,Roger Clemens,Boston,.690,08-04-1962  (Leo)
1987,Wins,Roger Clemens,Boston,20,08-04-1962  (Leo)
1988,Complete Games,Roger Clemens,Boston,14,08-04-1962  (Leo)
1988,ERA,Allan Anderson,Minnesota,2.45,01-07-1964  (Capricorn)
1988,Games,Chuck Crim,Milwaukee,70,07-23-1961  (Leo)
1988,Saves,Dennis Eckersley,Oakland,45,10-03-1954  (Libra)
1988,Shutouts,Roger Clemens,Boston,8,08-04-1962  (Leo)
1988,Strikeouts,Roger Clemens,Boston,291,08-04-1962  (Leo)
1988,Winning Percentage,Frank Viola,Minnesota,.774,04-19-1960  (Aries)
1988,Wins,Frank Viola,Minnesota,24,04-19-1960  (Aries)
1989,Complete Games,Bret Saberhagen,Kansas City,12,04-11-1964  (Aries)
1989,ERA,Bret Saberhagen,Kansas City,2.16,04-11-1964  (Aries)
1989,Games,Chuck Crim,Milwaukee,76,07-23-1961  (Leo)
1989,Saves,Jeff Russell,Texas,38,09-02-1961  (Virgo)
1989,Shutouts,Bert Blyleven,California,5,04-06-1951  (Aries)
1989,Strikeouts,Nolan Ryan,Texas,301,01-31-1947  (Aquarius)
1989,Winning Percentage,Bret Saberhagen,Kansas City,.793,04-11-1964  (Aries)
1989,Wins,Bret Saberhagen,Kansas City,23,04-11-1964  (Aries)
1990,Complete Games,Jack Morris,Detroit,11,05-16-1955  (Taurus)
1990,ERA,Roger Clemens,Boston,1.93,08-04-1962  (Leo)
1990,Games,Bobby Thigpen,Chicago,77,07-17-1963  (Cancer)
1990,Saves,Bobby Thigpen,Chicago,57,07-17-1963  (Cancer)
1990,Shutouts,Roger Clemens,Boston,4,08-04-1962  (Leo)
1990,Strikeouts,Nolan Ryan,Texas,269,01-31-1947  (Aquarius)
1990,Winning Percentage,Bob Welch,Oakland,.818,11-03-1956  (Scorpio)
1990,Wins,Bob Welch,Oakland,27,11-03-1956  (Scorpio)
1991,Complete Games,Jack McDowell,Chicago,15,01-16-1966  (Capricorn)
1991,ERA,Roger Clemens,Boston,2.62,08-04-1962  (Leo)
1991,Games,Duane Ward,Toronto,81,05-28-1964  (Gemini)
1991,Saves,Bryan Harvey,California,46,06-02-1963  (Gemini)
1991,Shutouts,Roger Clemens,Boston,4,08-04-1962  (Leo)
1991,Strikeouts,Roger Clemens,Boston,241,08-04-1962  (Leo)
1991,Winning Percentage,Scott Erickson,Minnesota,.714,02-02-1968  (Aquarius)
1991,Wins,Scott Erickson,Minnesota,20,02-02-1968  (Aquarius)
1992,Complete Games,Jack McDowell,Chicago,13,01-16-1966  (Capricorn)
1992,ERA,Roger Clemens,Boston,2.41,08-04-1962  (Leo)
1992,Games,Kenny Rogers,Texas,81,11-10-1964  (Scorpio)
1992,Saves,Dennis Eckersley,Oakland,51,10-03-1954  (Libra)
1992,Shutouts,Roger Clemens,Boston,5,08-04-1962  (Leo)
1992,Strikeouts,Randy Johnson,Seattle,241,09-10-1963  (Virgo)
1992,Winning Percentage,Mike Mussina,Baltimore,.783,12-08-1968  (Sagittarius)
1992,Wins,Kevin Brown,Texas,21,03-14-1965  (Pisces)
1993,Complete Games,Chuck Finley,California,13,11-26-1962  (Sagittarius)
1993,ERA,Kevin Appier,Kansas City,2.56,12-06-1967  (Sagittarius)
1993,Games,Greg Harris,Boston,80,11-02-1955  (Scorpio)
1993,Saves,Jeff Montgomery,Kansas City,45,01-07-1962  (Capricorn)
1993,Shutouts,Jack McDowell,Chicago,4,01-16-1966  (Capricorn)
1993,Strikeouts,Randy Johnson,Seattle,308,09-10-1963  (Virgo)
1993,Winning Percentage,Jimmy Key,New York,.750,04-22-1961  (Taurus)
1993,Wins,Jack McDowell,Chicago,22,01-16-1966  (Capricorn)
1994,Complete Games,Randy Johnson,Seattle,9,09-10-1963  (Virgo)
